Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Newfoundland and Labrador,Females,'65-79',2011,250,80,31980
Newfoundland and Labrador,Females,'80+',2011,247,30,12150
Newfoundland and Labrador,Females,'1+',2012,417,1040,249550
Newfoundland and Labrador,Females,'1-19',2012,938,420,44800
Newfoundland and Labrador,Females,'20-34',2012,341,150,43930
Newfoundland and Labrador,Females,'35-49',2012,348,190,54550
Newfoundland and Labrador,Females,'50-64',2012,265,160,60440
Newfoundland and Labrador,Females,'65-79',2012,239,80,33530
Newfoundland and Labrador,Females,'80+',2012,244,30,12290
Newfoundland and Labrador,Females,'1+',2013,474,1180,248870
Newfoundland and Labrador,Females,'1-19',2013,1039,460,44290
Newfoundland and Labrador,Females,'20-34',2013,371,160,43170
Newfoundland and Labrador,Females,'35-49',2013,413,220,53260
Newfoundland and Labrador,Females,'50-64',2013,330,200,60560
Newfoundland and Labrador,Females,'65-79',2013,284,100,35160
Newfoundland and Labrador,Females,'80+',2013,242,30,12420
Newfoundland and Labrador,Females,'1+',2014,429,1060,246890
Newfoundland and Labrador,Females,'1-19',2014,985,430,43660
Newfoundland and Labrador,Females,'20-34',2014,335,140,41790
Newfoundland and Labrador,Females,'35-49',2014,308,160,51980
Newfoundland and Labrador,Females,'50-64',2014,297,180,60620
Newfoundland and Labrador,Females,'65-79',2014,302,110,36470
Newfoundland and Labrador,Females,'80+',2014,243,30,12370
Newfoundland and Labrador,Females,'1+',2015,433,1060,244870
Newfoundland and Labrador,Females,'1-19',2015,1001,430,42960
Newfoundland and Labrador,Females,'20-34',2015,272,110,40500
Newfoundland and Labrador,Females,'35-49',2015,375,190,50600
Newfoundland and Labrador,Females,'50-64',2015,315,190,60330
Newfoundland and Labrador,Females,'65-79',2015,315,120,38070
Newfoundland and Labrador,Females,'80+',2015,322,40,12420
Newfoundland and Labrador,Females,'1+',2016,440,1080,245370
Newfoundland and Labrador,Females,'1-19',2016,929,400,43040
Newfoundland and Labrador,Females,'20-34',2016,301,120,39900
Newfoundland and Labrador,Females,'35-49',2016,381,190,49850
Newfoundland and Labrador,Females,'50-64',2016,332,200,60190
Newfoundland and Labrador,Females,'65-79',2016,327,130,39730
Newfoundland and Labrador,Females,'80+',2016,316,40,12670
Newfoundland and Labrador,Females,'1+',2017,423,1030,243630
Newfoundland and Labrador,Females,'1-19',2017,895,380,42440
Newfoundland and Labrador,Females,'20-34',2017,284,110,38680
Newfoundland and Labrador,Females,'35-49',2017,411,200,48640
Newfoundland and Labrador,Females,'50-64',2017,301,180,59870
Newfoundland and Labrador,Females,'65-79',2017,316,130,41110
Newfoundland and Labrador,Females,'80+',2017,310,40,12910
Newfoundland and Labrador,Males,'1+',2008,401,980,244670
