Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Manitoba,Other Renewables and Landfill Gas,2047,15.3546,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2047,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2048,8.3883,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2048,0.5348,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2048,15.8925,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2048,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2049,8.4996,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2049,0.5419,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2049,16.4279,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2049,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2050,8.9271,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2050,0.5677,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2050,16.9659,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2050,0,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2005,18.4182,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2005,45.3333,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2005,15.638,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2005,25.2912,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2006,18.4182,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2006,45.3333,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2006,15.6379,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2006,25.2912,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2007,18.4182,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2007,45.3333,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2007,15.638,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2007,25.2912,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2008,32.5974,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2008,42.6494,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2008,13.8784,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2008,26.1363,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2009,19.4351,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2009,54.5663,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2009,11.9828,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2009,19.5383,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2010,22.291,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2010,25.4837,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2010,17.0199,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2010,21.495,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2011,22.6632,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2011,19.0312,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2011,26.382,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2011,23.1097,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2012,20.739,Electric Generation,Petajoules
